Frame, Timestamp, Product/AOI, Section/Shelf, EyeLeftPosition_x, EyeLeftPosition_y, EyeLeftPosition_z, EyeLeftRotation_x, EyeLeftRotation_y, EyeLeftRotation_z, EyeRightPosition_x, EyeRightPosition_y, EyeRightPosition_z,EyeRightRotation_x, EyeRightRotation_y, EyeRightRotation_z, HMD_x, HMD_y, HMD_z, RCHit_x, RCHit_y, RCHit_z
127, 3.0000, balon, Juguetes, 5.0767, 1.7208, 10.2125, 0.0896, 0.9944, -0.0172, 4.9418, 1.7451, 10.1976, 0.0896, 0.9944, -0.0172, 5.0459, 1.7264, 10.2091, 5.4141, 1.5686, 6.6265
128, 3.0200, balon, Juguetes, 5.0801, 1.7218, 10.2153, 0.0937, 0.9937, -0.0119, 4.9457, 1.7473, 10.1982, 0.0937, 0.9937, -0.0119, 5.0494, 1.7276, 10.2114, 5.4725, 1.6028, 6.6845
128, 3.0400, balon, Juguetes, 5.0801, 1.7218, 10.2153, 0.0937, 0.9937, -0.0119, 4.9457, 1.7473, 10.1982, 0.0937, 0.9937, -0.0119, 5.0494, 1.7276, 10.2114, 5.4725, 1.6028, 6.6845
129, 3.0600, baby_yoda, Juguetes, 5.0832, 1.7230, 10.2180, 0.0987, 0.9929, -0.0029, 4.9492, 1.7500, 10.1995, 0.0987, 0.9929, -0.0029, 5.0526, 1.7292, 10.2138, 5.4364, 1.6744, 7.3449
130, 3.0800, baby_yoda, Juguetes, 5.0853, 1.7259, 10.2205, 0.1017, 0.9922, 0.0095, 4.9517, 1.7539, 10.2010, 0.1017, 0.9922, 0.0095, 5.0549, 1.7323, 10.2161, 5.4722, 1.7441, 7.3681
355, 9.3200, baby_yoda, Juguetes, 5.1580, 1.7292, 10.0194, 0.0438, 0.9955, -0.0205, 5.0225, 1.7408, 9.9968, 0.0438, 0.9955, -0.0205, 5.1271, 1.7318, 10.0142, 5.5536, 1.6040, 7.3871
355, 9.3400, baby_yoda, Juguetes, 5.1580, 1.7292, 10.0194, 0.0438, 0.9955, -0.0205, 5.0225, 1.7408, 9.9968, 0.0438, 0.9955, -0.0205, 5.1271, 1.7318, 10.0142, 5.5536, 1.6040, 7.3871
356, 9.3600, balon, Juguetes, 5.1552, 1.7284, 10.0339, 0.0468, 0.9965, -0.0186, 5.0192, 1.7409, 10.0152, 0.0468, 0.9965, -0.0186, 5.1242, 1.7313, 10.0297, 5.5705, 1.5850, 6.6922
356, 9.3600, baby_yoda, Juguetes, 5.1552, 1.7284, 10.0339, 0.0468, 0.9965, -0.0186, 5.0192, 1.7409, 10.0152, 0.0468, 0.9965, -0.0186, 5.1242, 1.7313, 10.0297, 5.4779, 1.6153, 7.3851
357, 9.3800, balon, Juguetes, 5.1531, 1.7285, 10.0476, 0.0482, 0.9972, -0.0170, 5.0166, 1.7415, 10.0325, 0.0482, 0.9972, -0.0170, 5.1220, 1.7315, 10.0441, 5.4803, 1.5997, 6.6907
460, 12.2400, baby_yoda, Juguetes, 4.9673, 1.7311, 10.1404, 0.0231, 0.9928, -0.0361, 4.8330, 1.7363, 10.1095, 0.0231, 0.9928, -0.0361, 4.9367, 1.7323, 10.1334, 5.5603, 1.5149, 7.3840
461, 12.2600, baby_yoda, Juguetes, 4.9669, 1.7304, 10.1391, 0.0214, 0.9943, -0.0357, 4.8318, 1.7353, 10.1118, 0.0214, 0.9943, -0.0357, 4.9361, 1.7315, 10.1329, 5.4817, 1.5205, 7.3868
461, 12.2800, baby_yoda, Juguetes, 4.9669, 1.7304, 10.1391, 0.0214, 0.9943, -0.0357, 4.8318, 1.7353, 10.1118, 0.0214, 0.9943, -0.0357, 4.9361, 1.7315, 10.1329, 5.4817, 1.5205, 7.3868
462, 12.3000, balon, Juguetes, 4.9664, 1.7295, 10.1361, 0.0175, 0.9958, -0.0374, 4.8304, 1.7335, 10.1134, 0.0175, 0.9958, -0.0374, 4.9354, 1.7304, 10.1309, 5.5041, 1.4582, 6.6712
614, 16.5200, baby_yoda, Juguetes, 5.2158, 2.0445, 7.7321, -0.2096, -0.8759, 0.1844, 5.1327, 2.0752, 7.6264, -0.2096, -0.8759, 0.1844, 5.1968, 2.0515, 7.7080, 5.5484, 1.7712, 7.3507
615, 16.5400, baby_yoda, Juguetes, 5.2074, 2.0412, 7.7159, -0.2186, -0.8900, 0.1904, 5.1168, 2.0764, 7.6181, -0.2186, -0.8900, 0.1904, 5.1867, 2.0492, 7.6936, 5.4823, 1.7812, 7.3237
615, 16.5600, baby_yoda, Juguetes, 5.2074, 2.0412, 7.7159, -0.2186, -0.8900, 0.1904, 5.1168, 2.0764, 7.6181, -0.2186, -0.8900, 0.1904, 5.1867, 2.0492, 7.6936, 5.4823, 1.7812, 7.3237
616, 16.5800, baby_yoda, Juguetes, 5.1997, 2.0410, 7.7062, -0.2221, -0.8921, 0.1953, 5.1076, 2.0773, 7.6101, -0.2221, -0.8921, 0.1953, 5.1787, 2.0493, 7.6843, 5.4657, 1.7749, 7.3055
617, 16.6000, baby_yoda, Juguetes, 5.1931, 2.0412, 7.6962, -0.2216, -0.8941, 0.1987, 5.0996, 2.0775, 7.6015, -0.2216, -0.8941, 0.1987, 5.1718, 2.0495, 7.6746, 5.4583, 1.7667, 7.2830
617, 16.6200, baby_yoda, Juguetes, 5.1931, 2.0412, 7.6962, -0.2216, -0.8941, 0.1987, 5.0996, 2.0775, 7.6015, -0.2216, -0.8941, 0.1987, 5.1718, 2.0495, 7.6746, 5.4583, 1.7667, 7.2830
618, 16.6400, baby_yoda, Juguetes, 5.1865, 2.0414, 7.6852, -0.2170, -0.8942, 0.1999, 5.0928, 2.0764, 7.5903, -0.2170, -0.8942, 0.1999, 5.1651, 2.0494, 7.6636, 5.4598, 1.7614, 7.2670
619, 16.6600, baby_yoda, Juguetes, 5.1798, 2.0410, 7.6747, -0.2145, -0.8931, 0.2009, 5.0866, 2.0749, 7.5789, -0.2145, -0.8931, 0.2009, 5.1585, 2.0487, 7.6528, 5.4637, 1.7536, 7.2512
619, 16.6800, baby_yoda, Juguetes, 5.1798, 2.0410, 7.6747, -0.2145, -0.8931, 0.2009, 5.0866, 2.0749, 7.5789, -0.2145, -0.8931, 0.2009, 5.1585, 2.0487, 7.6528, 5.4637, 1.7536, 7.2512
620, 16.7000, baby_yoda, Juguetes, 5.1732, 2.0398, 7.6643, -0.2127, -0.8899, 0.2021, 5.0815, 2.0726, 7.5667, -0.2127, -0.8899, 0.2021, 5.1523, 2.0473, 7.6420, 5.4629, 1.7526, 7.2511
620, 16.7200, baby_yoda, Juguetes, 5.1732, 2.0398, 7.6643, -0.2127, -0.8899, 0.2021, 5.0815, 2.0726, 7.5667, -0.2127, -0.8899, 0.2021, 5.1523, 2.0473, 7.6420, 5.4629, 1.7526, 7.2511
621, 16.7400, baby_yoda, Juguetes, 5.1670, 2.0391, 7.6537, -0.2099, -0.8857, 0.2041, 5.0770, 2.0701, 7.5539, -0.2099, -0.8857, 0.2041, 5.1465, 2.0462, 7.6309, 5.4596, 1.7555, 7.2585
622, 16.7600, baby_yoda, Juguetes, 5.1613, 2.0375, 7.6430, -0.2079, -0.8800, 0.2036, 5.0742, 2.0669, 7.5403, -0.2079, -0.8800, 0.2036, 5.1414, 2.0442, 7.6196, 5.4580, 1.7615, 7.2704
623, 16.7800, baby_yoda, Juguetes, 5.1563, 2.0360, 7.6324, -0.2069, -0.8737, 0.2015, 5.0725, 2.0641, 7.5266, -0.2069, -0.8737, 0.2015, 5.1372, 2.0424, 7.6083, 5.4594, 1.7667, 7.2799
623, 16.8000, baby_yoda, Juguetes, 5.1563, 2.0360, 7.6324, -0.2069, -0.8737, 0.2015, 5.0725, 2.0641, 7.5266, -0.2069, -0.8737, 0.2015, 5.1372, 2.0424, 7.6083, 5.4594, 1.7667, 7.2799
624, 16.8200, baby_yoda, Juguetes, 5.1520, 2.0342, 7.6221, -0.2066, -0.8653, 0.1992, 5.0724, 2.0610, 7.5127, -0.2066, -0.8653, 0.1992, 5.1338, 2.0403, 7.5972, 5.4621, 1.7718, 7.2931
625, 16.8400, baby_yoda, Juguetes, 5.1485, 2.0333, 7.6113, -0.2097, -0.8535, 0.1981, 5.0747, 2.0589, 7.4977, -0.2097, -0.8535, 0.1981, 5.1317, 2.0391, 7.5854, 5.4659, 1.7748, 7.3086
625, 16.8600, baby_yoda, Juguetes, 5.1485, 2.0333, 7.6113, -0.2097, -0.8535, 0.1981, 5.0747, 2.0589, 7.4977, -0.2097, -0.8535, 0.1981, 5.1317, 2.0391, 7.5854, 5.4659, 1.7748, 7.3086
626, 16.8800, baby_yoda, Juguetes, 5.1476, 2.0375, 7.6003, -0.2157, -0.8392, 0.2039, 5.0798, 2.0618, 7.4827, -0.2157, -0.8392, 0.2039, 5.1321, 2.0431, 7.5735, 5.4695, 1.7745, 7.3234
627, 16.9000, baby_yoda, Juguetes, 5.1447, 2.0347, 7.5903, -0.2162, -0.8278, 0.1960, 5.0830, 2.0582, 7.4693, -0.2162, -0.8278, 0.1960, 5.1306, 2.0400, 7.5627, 5.4807, 1.7773, 7.3333
628, 16.9200, baby_yoda, Juguetes, 5.1404, 2.0322, 7.5835, -0.2146, -0.8171, 0.1923, 5.0840, 2.0540, 7.4596, -0.2146, -0.8171, 0.1923, 5.1275, 2.0372, 7.5552, 5.4898, 1.7761, 7.3441
628, 16.9400, baby_yoda, Juguetes, 5.1404, 2.0322, 7.5835, -0.2146, -0.8171, 0.1923, 5.0840, 2.0540, 7.4596, -0.2146, -0.8171, 0.1923, 5.1275, 2.0372, 7.5552, 5.4898, 1.7761, 7.3441
